,sum
109044,874.8030000000001
109056,451.98999999999995
109068,1335.5899999999997
109080,1652.3970000000002
109092,1936.1779999999999
109104,466.34600000000006
109116,466.5510000000001
109128,427.9459999999999
109140,108.18199999999999
109152,110.746
109164,112.021
109176,112.31800000000001
109188,175.94600000000003
109200,583.986
109212,469.665
109224,110.179
109236,108.55499999999999
109248,109.324
109260,299.84900000000005
109272,174.37400000000002
109284,899.3620000000001
109296,1888.8679999999997
109308,453.87700000000007
109320,635.549
