,선풍기 (방1)
96480,3355.228
96768,5941.979
97056,9123.505000000001
97344,12111.742000000002
97632,15151.340000000002
97920,15348.064000000002
98208,15452.058000000003
98496,15557.014
98784,15662.13
99072,15766.042
99360,15869.476999999999
99648,15973.712
99936,16078.819
100224,16182.909
100512,16286.76
100800,16390.250999999997
101088,16493.785999999996
101376,16597.058999999997
101664,16700.525999999998
101952,16934.393999999997
102240,17286.867999999995
102528,17594.358999999997
102816,17698.002999999997
103104,17915.621
103392,18018.449
103680,18340.8
103968,18443.417999999998
104256,18546.654
104544,18651.228
104832,20074.579999999998
