,선풍기1 (방1)
105120,86.622
105408,403.983
105696,687.4480000000001
105984,773.7280000000001
106272,1005.892
106560,1092.089
106848,1349.9769999999999
107136,1561.669
107424,1832.868
107712,1918.979
108000,2218.973
108288,2401.148
108576,2709.2340000000004
108864,2945.4330000000004
109152,3213.3200000000006
109440,3213.3199999999997
109728,3213.3199999999997
110016,3213.3199999999997
110304,3213.3199999999997
110592,3213.3199999999997
110880,3213.3199999999997
111168,3213.3199999999997
111456,3213.3199999999997
111744,3213.3199999999997
112032,3213.3199999999997
112320,3213.3199999999997
112608,3213.3199999999997
112896,3213.3199999999997
113184,3213.3199999999997
113472,3213.3199999999997
113760,3213.3199999999997
