,에어컨 (거실)
96480,97.25
96768,195.623
97056,293.106
97344,390.663
97632,487.404
97920,584.874
98208,682.995
98496,781.03
98784,878.7909999999999
99072,976.632
99360,1074.387
99648,1172.307
99936,1271.443
100224,1370.44
100512,1467.159
100800,1564.042
101088,1661.9489999999998
101376,1758.9899999999998
101664,1855.5879999999997
101952,1953.8979999999997
102240,2052.649
102528,2152.095
102816,2250.377
103104,2349.65
103392,2446.657
103680,2544.027
103968,2643.355
104256,2742.134
104544,2841.638
104832,2939.893
